img_name,label
../data_training/EQ/B047.PB_20140503051424_EV.png,0
../data_training/EQ/B082.PB_20110124230844_EV.png,0
../data_training/EQ/B075.PB_20131017020759_EV.png,0
../data_training/EQ/B028.PB_20110706042827_EV.png,0
../data_training/EQ/B057.PB_20140824123355_EV.png,0
../data_training/EQ/B047.PB_20150223030248_EV.png,0
../data_training/EQ/B082.PB_20070727030134_EV.png,0
../data_training/EQ/B081.PB_20130329084152_EV.png,0
../data_training/EQ/B065.PB_20130714130229_EV.png,0
../data_training/EQ/AUL.AV_20130301054331_EV.png,0
../data_training/EQ/AAM3.ZQ_20080728232841_EV.png,0
../data_training/EQ/B082.PB_20160218164419_EV.png,0
../data_training/EQ/B054.PB_20140813020800_EV.png,0
../data_training/EQ/B018.PB_20170303154912_EV.png,0
../data_training/EQ/B082.PB_20170927031404_EV.png,0
../data_training/EQ/B082.PB_20071023164603_EV.png,0
../data_training/EQ/B082.PB_20120530225316_EV.png,0
../data_training/EQ/B082.PB_20110616021539_EV.png,0
../data_training/EQ/B084.PB_20130415211656_EV.png,0
../data_training/EQ/B073.PB_20170906195752_EV.png,0
../data_training/EQ/B081.PB_20120114061156_EV.png,0
../data_training/EQ/B081.PB_20111019081836_EV.png,0
../data_training/EQ/B082.PB_20140315120812_EV.png,0
../data_training/EQ/AAM1.ZQ_20090224173415_EV.png,0
../data_training/EQ/B081.PB_20150210014939_EV.png,0
../data_training/EQ/B082.PB_20170920114215_EV.png,0
../data_training/EQ/B067.PB_20110828063918_EV.png,0
../data_training/EQ/B082.PB_20150821052011_EV.png,0
../data_training/EQ/B073.PB_20121109155320_EV.png,0
../data_training/EQ/AFD.NC_20170711203832_EV.png,0
../data_training/EQ/B082.PB_20130704205021_EV.png,0
../data_training/EQ/B082.PB_20120912172730_EV.png,0
../data_training/EQ/B067.PB_20141014220943_EV.png,0
../data_training/EQ/B081.PB_20121220022629_EV.png,0
../data_training/EQ/B081.PB_20111010151930_EV.png,0
../data_training/EQ/B045.PB_20130915072000_EV.png,0
../data_training/EQ/B082.PB_20110516120321_EV.png,0
../data_training/EQ/B082.PB_20130215232448_EV.png,0
../data_training/EQ/ALEP.HV_20160704161644_EV.png,0
../data_training/EQ/B067.PB_20150817070527_EV.png,0
../data_training/EQ/B058.PB_20160719234343_EV.png,0
../data_training/EQ/B084.PB_20100828014817_EV.png,0
../data_training/EQ/ATKA.AK_20130407062733_EV.png,0
../data_training/EQ/AIND.HV_20160720060556_EV.png,0
../data_training/EQ/AMD.SN_20141020081928_EV.png,0
../data_training/EQ/B082.PB_20140214061411_EV.png,0
../data_training/EQ/B013.PB_20110417185216_EV.png,0
../data_training/EQ/B047.PB_20131109161947_EV.png,0
../data_training/EQ/B081.PB_20130527180034_EV.png,0
../data_training/EQ/B084.PB_20070908065747_EV.png,0
../data_training/EQ/B082.PB_20140901224050_EV.png,0
../data_training/EQ/B081.PB_20111107145156_EV.png,0
../data_training/EQ/B082.PB_20110603215146_EV.png,0
../data_training/EQ/B075.PB_20140329100025_EV.png,0
../data_training/EQ/B081.PB_20120727105431_EV.png,0
../data_training/EQ/B082.PB_20170605003709_EV.png,0
